1more	万魔
acer	宏碁
adidas	阿迪达斯
aigo	爱国者
akg	爱科技
alienware	外星人
apple	苹果
asl	翔升
asrock	华擎
asus	华硕
audio-technica	铁三角
autel	道通智能
baseus	倍思
benq	明基
beyerdynamic	拜亚动力
blackberry	黑莓
blackview	凌度
boe	京东方
bose	博士
canon	佳能
carl zeiss	卡尔蔡司
casio	卡西欧
changhong	长虹
china mobile	中国移动
china unicom	中国联通
colorful	七彩虹
coolpad	酷派
coros	高驰
creative	创新科技
dataland	迪兰
dell	戴尔
denon	天龙
dere	戴睿
dicasver	发行者
dji	大疆
dynaudio	丹拿
dyson	戴森
edifier	漫步者
epson	爱普生
fimi	飞米科技
formovie	峰米
fujifilm	富士
gainward	耕升
garmin	佳明
gigabyte	技嘉
google	谷歌
gravastar	重力星球
grefu	格莱富
haier	海尔
hanvon	汉王
haqu	哈趣
harman/kardon	哈曼卡顿
hasee	神舟
hasselblad	哈苏
hisense	海信
hitachi	日立
hivi	惠威
honor	荣耀
hp	惠普
huawei	华为
hubsan	哈博森
hyperx	极度未知
iflytek	科大讯飞
inno3d	映众
insta360	影石
intel	英特尔
ipason	攀升
ireader	掌阅
jabra	捷波朗
jeep	吉普
jmgo	坚果
jumper	中柏
kingston	金士顿
kuaisuzhe	快速者
laowa	老蛙
leadtek	丽台
leica	徕卡
letv	乐视
libratone	小鸟音响
lingrui	领睿
linklike	莅莱
machenike	机械师
marshall	马歇尔
maxsun	铭瑄
mechrevo	机械革命
meike	美科
meitu	美图
meizu	魅族
microsoft	微软
mingxin	铭鑫
mojawa	墨觉
monster	魔声
montblanc	万宝龙
motorola	摩托罗拉
msi	微星
nikon	尼康
nintendo	任天堂
nubia	努比亚
olympus	奥林巴斯
onda	昂达
one-netbook	壹号本
openfit	韶音
oppo	oppo
optoma	奥图码
panasonic	松下
pentax	宾得
pioneer	先锋
plantronics	缤特力
pny	必恩威
razer	雷蛇
readboy	读书郎
realme	真我
ricoh	理光
samsung	三星
samyang	三阳
sangean	山进
sapphire	蓝宝石
sennheiser	森海塞尔
sharp	夏普
shure	舒尔
sigma	适马
smartisan	锤子
songdian	松典
soonfoals	速驹
soundcore	声阔
soyo	梅捷
steelseries	赛睿
tamron	腾龙
teclast	台电
terrans force	未来人类
thtf	清华同方
thunderobot	雷神
tokina	图丽
toshiba	东芝
ugreen	绿联
uhoo	优和
vastarmor	瀚铠
viewsonic	优派
vivo	vivo
voigtlander	福伦达
wanli	万丽
wooking	吾空
xfx	讯景
xgimi	极米
xiaomi	小米
xiberia	西伯利亚
yamaha	雅马哈
yeston	盈通
yi	小蚁
yongnuo	永诺
zotac	索泰
zxauto	中兴
七彩虹	colorful
万丽	wanli
万宝龙	montblanc
万魔	1more
三星	samsung
三阳	samyang
东芝	toshiba
中兴	zxauto
中国移动	china mobile
中国联通	china unicom
中柏	jumper
丹拿	dynaudio
丽台	leadtek
乐视	letv
京东方	boe
任天堂	nintendo
优和	uhoo
优派	viewsonic
佳明	garmin
佳能	canon
倍思	baseus
先锋	pioneer
凌度	blackview
创新科技	creative
努比亚	nubia
华为	huawei
华擎	asrock
华硕	asus
博士	bose
卡尔蔡司	carl zeiss
卡西欧	casio
发行者	dicasver
台电	teclast
吉普	jeep
吾空	wooking
哈博森	hubsan
哈曼卡顿	harman/kardon
哈苏	hasselblad
哈趣	haqu
图丽	tokina
坚果	jmgo
墨觉	mojawa
声阔	soundcore
壹号本	one-netbook
夏普	sharp
外星人	alienware
大疆	dji
天龙	denon
奥图码	optoma
奥林巴斯	olympus
宏碁	acer
宾得	pentax
富士	fujifilm
小米	xiaomi
小蚁	yi
小鸟音响	libratone
尼康	nikon
山进	sangean
峰米	formovie
影石	insta360
徕卡	leica
微星	msi
微软	microsoft
必恩威	pny
快速者	kuaisuzhe
惠威	hivi
惠普	hp
戴尔	dell
戴森	dyson
戴睿	dere
技嘉	gigabyte
拜亚动力	beyerdynamic
捷波朗	jabra
掌阅	ireader
摩托罗拉	motorola
攀升	ipason
日立	hitachi
昂达	onda
明基	benq
映众	inno3d
未来人类	terrans force
机械师	machenike
机械革命	mechrevo
松下	panasonic
松典	songdian
极度未知	hyperx
极米	xgimi
格莱富	grefu
梅捷	soyo
森海塞尔	sennheiser
永诺	yongnuo
汉王	hanvon
海信	hisense
海尔	haier
清华同方	thtf
漫步者	edifier
瀚铠	vastarmor
爱国者	aigo
爱普生	epson
爱科技	akg
理光	ricoh
盈通	yeston
真我	realme
神舟	hasee
福伦达	voigtlander
科大讯飞	iflytek
索泰	zotac
绿联	ugreen
缤特力	plantronics
美图	meitu
美科	meike
翔升	asl
老蛙	laowa
耕升	gainward
腾龙	tamron
舒尔	shure
英特尔	intel
苹果	apple
荣耀	honor
莅莱	linklike
蓝宝石	sapphire
西伯利亚	xiberia
讯景	xfx
读书郎	readboy
谷歌	google
赛睿	steelseries
迪兰	dataland
适马	sigma
速驹	soonfoals
道通智能	autel
酷派	coolpad
重力星球	gravastar
金士顿	kingston
铁三角	audio-technica
铭瑄	maxsun
铭鑫	mingxin
锤子	smartisan
长虹	changhong
阿迪达斯	adidas
雅马哈	yamaha
雷神	thunderobot
雷蛇	razer
韶音	openfit
领睿	lingrui
飞米科技	fimi
马歇尔	marshall
高驰	coros
魅族	meizu
魔声	monster
黑莓	blackberry
